Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
09-Sep-2020 10:49:32.245, 0.0552,-0.2899,-0.9521, 0.3563,-1.4439,-1.0440,-0.0577, 0.4373, 0.3831
09-Sep-2020 10:49:32.248, 0.0673,-0.3258,-0.8213,-0.1538,-1.4553,-0.8456,-0.0712, 0.2053,-2.4854
09-Sep-2020 10:49:32.257, 0.0452,-0.3447,-0.7820,-0.6942,-1.3005,-0.6239,-0.0839, 0.2044,-2.4940
09-Sep-2020 10:49:32.267, 0.0221,-0.3327,-0.8039,-1.1153,-1.0414,-0.4033,-0.0954, 0.1982,-2.5009
09-Sep-2020 10:49:32.277, 0.0105,-0.3042,-0.8614,-1.3256,-0.6668,-0.1602,-0.1048, 0.1876,-2.5059
09-Sep-2020 10:49:32.286,-0.0060,-0.2503,-0.9538,-1.2951,-0.2737, 0.0957,-0.1109, 0.1749,-2.5089
09-Sep-2020 10:49:32.296,-0.0379,-0.1693,-1.0180,-1.1498,-0.0122, 0.2972,-0.1136, 0.1620,-2.5093
09-Sep-2020 10:49:32.306,-0.0664,-0.0933,-1.0179,-1.0270, 0.3932, 0.4584,-0.1139, 0.1503,-2.5076
09-Sep-2020 10:49:32.316,-0.0764,-0.0693,-1.0543,-0.6731, 0.8518, 0.5151,-0.1105, 0.1398,-2.5042
09-Sep-2020 10:49:32.326,-0.0548,-0.0643,-1.1972,-0.1727, 0.7883, 0.5403,-0.1031, 0.1327,-2.4997
09-Sep-2020 10:49:32.336,-0.0111, 0.0201,-1.2129, 0.3008, 0.4334, 0.5351,-0.0961, 0.1304,-2.4944
09-Sep-2020 10:49:32.346,-0.0003, 0.0708,-1.1499, 0.6595, 0.2396, 0.4509,-0.0924, 0.1329,-2.4888
09-Sep-2020 10:49:32.356, 0.0047, 0.0247,-1.1318, 0.9288, 0.0936, 0.2676,-0.0908, 0.1389,-2.4836
09-Sep-2020 10:49:32.366, 0.0119,-0.0596,-1.1149, 1.0636,-0.2556, 0.0313,-0.0905, 0.1478,-2.4801
09-Sep-2020 10:49:32.376,-0.0046,-0.1399,-1.0051, 1.0182,-0.5416,-0.1333,-0.0932, 0.1583,-2.4786
09-Sep-2020 10:49:32.386,-0.0299,-0.2006,-0.8904, 0.7341,-0.7364,-0.1833,-0.0986, 0.1683,-2.4789
09-Sep-2020 10:49:32.396,-0.0974,-0.2105,-0.7357, 0.2877,-0.7584,-0.1878,-0.1057, 0.1756,-2.4799
09-Sep-2020 10:49:32.406,-0.1894,-0.2156,-0.6259,-0.1929,-0.7200,-0.2492,-0.1130, 0.1787,-2.4814
09-Sep-2020 10:49:32.416,-0.2332,-0.2092,-0.5490,-0.6327,-0.4378,-0.4579,-0.1195, 0.1771,-2.4842
09-Sep-2020 10:49:32.426,-0.2243,-0.2111,-0.5603,-1.0123, 0.0157,-0.6755,-0.1228, 0.1715,-2.4895
09-Sep-2020 10:49:32.436,-0.1409,-0.2067,-0.6521,-1.2767, 0.4409,-0.7907,-0.1214, 0.1623,-2.4973
09-Sep-2020 10:49:32.446,-0.0334,-0.1868,-0.8009,-1.3841, 0.5949,-0.7736,-0.1158, 0.1508,-2.5066
09-Sep-2020 10:49:32.456, 0.0294,-0.1504,-0.8964,-1.3692, 0.6027,-0.6843,-0.1087, 0.1380,-2.5157
09-Sep-2020 10:49:32.466,-0.0335,-0.0703,-0.9470,-1.2739, 0.4960,-0.6421,-0.1017, 0.1252,-2.5240
09-Sep-2020 10:49:32.476,-0.1978, 0.0202,-0.9539,-1.1226, 0.4847,-0.8179,-0.0958, 0.1133,-2.5317
09-Sep-2020 10:49:32.485,-0.3126, 0.0441,-0.9313,-0.9857, 0.6192,-1.2199,-0.0899, 0.1029,-2.5410
09-Sep-2020 10:49:32.496,-0.3392, 0.0212,-0.8932,-0.8956, 1.0730,-1.6845,-0.0823, 0.0942,-2.5539
09-Sep-2020 10:49:32.506,-0.2585,-0.0220,-0.9277,-0.7340, 1.6279,-2.0574,-0.0700, 0.0867,-2.5713
